S	0.000	0.000	18.000
1	0.000	-8.800	43.000
2	0.000	-6.600	33.000
3	0.000	-4.400	94.000
4	0.000	-2.200	39.000
5	0.000	2.200	82.000
6	0.000	4.400	35.000
7	0.000	6.600	80.000
8	0.000	8.800	46.111
9	2.200	8.800	24.000
10	2.200	6.600	56.000
11	2.200	4.400	92.000
12	2.200	2.200	76.000
13	2.200	0.000	7.000
14	2.200	-2.200	91.000
15	2.200	-4.400	67.000
16	2.200	-6.600	34.000
17	2.200	-8.800	53.000
18	4.400	-8.800	39.000
19	4.400	-6.600	43.000
20	4.400	-4.400	22.000
21	4.400	-2.200	93.000
22	4.400	0.000	69.000
23	4.400	2.200	84.000
24	4.400	4.400	26.000
25	4.400	6.600	65.000
26	4.400	8.800	88.000
27	6.600	8.800	90.000
28	6.600	6.600	47.000
29	6.600	4.400	19.000
30	6.600	2.200	41.000
31	6.600	0.000	30.000
32	6.600	-2.200	34.000
33	6.600	-4.400	25.000
34	6.600	-6.600	40.000
35	6.600	-8.800	11.000
36	8.800	-8.800	24.000
37	8.800	-6.600	20.000
38	8.800	-4.400	60.000
39	8.800	-2.200	49.000
40	8.800	0.000	54.000
41	8.800	2.200	35.000
42	8.800	4.400	25.000
43	8.800	6.600	36.000
44	8.800	8.800	26.000
45	11.000	8.800	25.000
46	11.000	6.600	27.000
47	11.000	4.400	34.000
48	11.000	2.200	58.000
49	11.000	0.000	56.000
50	11.000	-2.200	84.000
51	11.000	-4.400	63.000
52	11.000	-6.600	27.000
53	13.200	-6.600	45.000
54	13.200	-4.400	57.000
55	13.200	-2.200	71.000
56	13.200	0.000	37.000
57	13.200	2.200	66.000
58	13.200	4.400	13.000
59	13.200	6.600	19.000
60	13.200	8.800	32.000
61	15.400	8.800	43.000
62	15.400	6.600	1.000
63	15.400	4.400	87.000
64	15.400	2.200	74.000
65	15.400	0.000	59.000
66	15.400	-2.200	69.000
67	15.400	-4.400	91.000
68	17.600	-2.200	57.000
69	17.600	0.000	67.000
70	17.600	2.200	15.000
71	-2.200	-8.800	84.000
72	-2.200	-6.600	89.000
73	-2.200	-4.400	25.000
74	-2.200	-2.200	20.000
75	-2.200	0.000	61.000
76	-2.200	2.200	84.000
77	-2.200	4.400	16.000
78	-2.200	6.600	18.000
79	-2.200	8.800	50.000
80	-4.400	8.800	88.000
81	-4.400	6.600	16.000
82	-4.400	4.400	96.000
83	-4.400	2.200	79.000
84	-4.400	0.000	25.000
85	-4.400	-2.200	17.000
86	-4.400	-4.400	58.000
87	-4.400	-6.600	27.000
88	-4.400	-8.800	36.000
89	-6.600	-8.800	13.000
90	-6.600	-6.600	63.000
91	-6.600	-4.400	87.000
92	-6.600	-2.200	75.000
93	-6.600	0.000	83.000
94	-6.600	2.200	60.000
95	-6.600	4.400	86.000
96	-6.600	6.600	52.000
97	-6.600	8.800	62.000
98	-8.800	8.800	52.000
99	-8.800	6.600	38.000
100	-8.800	4.400	87.000
101	-8.800	2.200	60.000
102	-8.800	0.000	35.000
103	-8.800	-2.200	19.000
104	-8.800	-4.400	18.000
105	-8.800	-6.600	34.000
106	-8.800	-8.800	32.000
107	-11.000	-6.600	87.000
108	-11.000	-4.400	100.000
109	-11.000	-2.200	65.000
110	-11.000	0.000	40.000
111	-11.000	2.200	42.000
112	-11.000	4.400	21.000
113	-11.000	6.600	21.000
114	-11.000	8.800	18.000
115	-13.200	8.800	54.000
116	-13.200	6.600	65.000
117	-13.200	4.400	60.000
118	-13.200	2.200	66.000
119	-13.200	0.000	7.000
120	-13.200	-2.200	60.000
121	-13.200	-4.400	53.000
122	-13.200	-6.600	77.000
123	-15.400	-4.400	76.000
124	-15.400	-2.200	76.000
125	-15.400	0.000	15.000
126	-15.400	2.200	83.000
127	-15.400	4.400	47.000
128	-15.400	6.600	99.000
129	-15.400	8.800	22.000
130	-17.600	2.200	49.000
131	-17.600	0.000	16.000
132	-17.600	-2.200	84.000
133	-17.600	-4.400	9.000
134	-2.200	-11.000	8.000
135	0.000	-11.000	50.000
136	2.200	-11.000	79.000
137	4.400	-11.000	75.000
138	17.600	-4.400	35.000
139	19.800	-4.400	10.000
140	19.800	-2.200	18.000
141	19.800	0.000	15.000
142	19.800	2.200	68.000
143	17.600	4.400	61.000
144	17.600	6.600	22.000
145	15.400	11.000	58.000
146	15.400	13.200	85.000
147	13.200	11.000	54.000
148	13.200	13.200	14.000
149	11.000	11.000	78.000
150	11.000	13.200	99.000
151	-8.800	11.000	30.000
152	-8.800	13.200	83.000
153	-11.000	11.000	33.000
154	-11.000	13.200	45.000
155	-13.200	11.000	7.000
156	-13.200	13.200	83.000
157	15.400	-6.600	57.000
